"iso3","year","saved.hivneg","saved.hivneg.lo","saved.hivneg.hi","saved.hivpos","saved.hivpos.lo","saved.hivpos.hi","saved","saved.lo","saved.hi"
"AFG","2000",2.81,0,8.6,0.0293,0.00801,0.0521,2.84,0.0157,8.63
"AFG","2001",3.85,0,9.85,0.0348,0.0115,0.0596,3.88,0.0245,9.88
"AFG","2002",4.96,0,11.2,0.0423,0.0171,0.0694,5,0.0383,11.2
"AFG","2003",6.14,0,12.5,0.0511,0.023,0.0811,6.19,0.0653,12.6
"AFG","2004",7.54,1.1,14,0.0602,0.0296,0.0931,7.6,1.16,14.1
"AFG","2005",8.73,2.24,15.4,0.0695,0.0361,0.105,8.8,2.31,15.4
"AFG","2006",9.6,2.97,16.4,0.0776,0.0416,0.116,9.68,3.05,16.4
"AFG","2007",10.3,3.58,17.1,0.086,0.0473,0.127,10.4,3.67,17.2
"AFG","2008",10.9,3.98,17.9,0.0937,0.0517,0.139,10.9,4.07,18
"AFG","2009",11.3,4.18,18.7,0.102,0.0563,0.152,11.4,4.28,18.8
"AFG","2010",11.7,4.27,19.4,0.111,0.0609,0.165,11.8,4.38,19.5
"AFG","2011",11.9,4.19,20,0.121,0.0663,0.181,12,4.31,20.2
"AFG","2012",12,4.01,20.5,0.134,0.0741,0.2,12.2,4.14,20.6
"AFG","2013",12,3.63,20.8,0.148,0.0821,0.22,12.1,3.78,20.9
"AFG","2014",11.8,3.06,20.9,0.165,0.0926,0.244,11.9,3.22,21.1
"AFG","Cumulative",135,108,163,1.33,1.15,1.51,137,109,164
"AGO","2000",6.65,0,16.1,4.68,1.87,8.14,11.3,3.6,21.3
"AGO","2001",7.81,0,17.7,5.4,2.18,9.34,13.2,4.65,23.8
"AGO","2002",8.92,0.128,19.4,6.21,2.56,10.7,15.1,5.82,26.4
"AGO","2003",10,0.783,21.2,7.12,3.03,12.1,17.2,7.09,29.2
"AGO","2004",11.3,1.48,23.2,8.1,3.56,13.7,19.4,8.51,32.3
"AGO","2005",12.3,1.76,25.2,9.15,4.12,15.4,21.5,9.65,35.5
"AGO","2006",13,1.89,26.6,9.93,4.56,16.7,22.9,10.4,37.8
"AGO","2007",13.4,1.89,27.5,10.6,4.93,17.8,24,11,39.5
"AGO","2008",13.9,1.97,28.4,11.2,5.19,18.8,25.1,11.6,41.2
"AGO","2009",14.4,2.02,29.4,11.9,5.48,20,26.3,12.2,43
"AGO","2010",14.8,2.07,30.3,12.5,5.54,21.1,27.3,12.6,44.6
"AGO","2011",15.1,2.14,31,13.1,5.62,22.2,28.2,13,46.1
"AGO","2012",15.5,2.19,31.7,13.6,5.75,23.2,29.1,13.5,47.5
"AGO","2013",15.8,2.25,32.3,14.1,5.98,23.9,29.9,13.9,48.7
"AGO","2014",16,2.24,32.8,14.5,6.14,24.5,30.5,14.2,49.7
"AGO","Cumulative",189,141,237,152,126,178,341,286,396
"ALB","2000",0.276,0.183,0.381,0.000284,0.000202,0.000378,0.277,0.183,0.381
"ALB","2001",0.259,0.173,0.355,1.22e-08,0,0,0.259,0.173,0.355
"ALB","2002",0.279,0.187,0.383,7.09e-07,0,0,0.279,0.187,0.383
"ALB","2003",0.264,0.177,0.362,5.45e-07,0,0,0.264,0.177,0.362
"ALB","2004",0.261,0.175,0.357,7.66e-06,0,0.000114,0.261,0.175,0.357
"ALB","2005",0.242,0.163,0.331,4.26e-05,0,0.000336,0.242,0.163,0.331
"ALB","2006",0.225,0.152,0.308,6.59e-05,0,0.000415,0.226,0.152,0.308
"ALB","2007",0.21,0.143,0.287,7.94e-09,0,0,0.21,0.143,0.287
"ALB","2008",0.203,0.138,0.276,6.74e-08,0,0,0.203,0.138,0.276
"ALB","2009",0.206,0.139,0.281,1.37e-06,0,0,0.206,0.139,0.281
"ALB","2010",0.199,0.134,0.271,3.09e-05,0,0.000389,0.199,0.134,0.271
"ALB","2011",0.194,0.132,0.265,1.9e-05,0,0.000262,0.194,0.132,0.265
"ALB","2012",0.189,0.129,0.256,5.14e-05,0,0.000465,0.189,0.129,0.256
"ALB","2013",0.212,0.142,0.29,0.00131,0.000274,0.00228,0.213,0.143,0.291
"ALB","2014",0.216,0.145,0.296,0.000723,0,0.00171,0.217,0.145,0.297
"ALB","Cumulative",3.44,3.12,3.75,0.00254,0.00111,0.00397,3.44,3.13,3.75
"ARE","2000",0.087,0.0283,0.159,1190,950,1380,1190,950,1380
"ARE","2001",0.089,0.029,0.163,1260,1000,1450,1260,1000,1450
"ARE","2002",0.0502,0.0163,0.0918,1320,1060,1530,1320,1060,1530
"ARE","2003",0.0346,0.0112,0.0633,1410,1130,1640,1410,1130,1640
"ARE","2004",0.0317,0.0104,0.058,1550,1240,1800,1550,1240,1800
"ARE","2005",0.0307,0.00998,0.0561,1750,1390,2020,1750,1390,2030
"ARE","2006",0.0103,0,0.037,2020,1610,2340,2020,1610,2340
"ARE","2007",0.0403,0.0119,0.0752,2340,1870,2720,2340,1870,2720
"ARE","2008",0.0403,0.00489,0.0825,2690,2150,3120,2690,2150,3120
"ARE","2009",0.043,0.00848,0.0848,0.000162,0.000104,0.000232,0.0432,0.00864,0.085
"ARE","2010",0.0421,0.0108,0.0803,0.00749,0.00499,0.0105,0.0496,0.0181,0.0879
"ARE","2011",0.0401,0.0103,0.0766,0.00549,0.00366,0.00767,0.0456,0.0157,0.0821
"ARE","2012",0.0353,0.00902,0.0674,0.0103,0.00677,0.0144,0.0456,0.019,0.0779
"ARE","2013",0.0333,0.0085,0.0635,0.00455,0.00301,0.00639,0.0378,0.013,0.0681
"ARE","2014",0.03,0.00768,0.0573,0.00441,0.00293,0.00617,0.0344,0.012,0.0617
"ARE","Cumulative",0.638,0.493,0.783,15500,14600,16500,15500,14600,16500
"ARG","2000",4.79,3.11,6.64,0.335,0.2,0.479,5.13,3.44,6.98
"ARG","2001",4.69,3.05,6.49,0.351,0.212,0.499,5.04,3.39,6.85
"ARG","2002",4.51,2.91,6.26,0.371,0.227,0.525,4.88,3.27,6.64
"ARG","2003",4.41,2.86,6.12,0.39,0.241,0.55,4.8,3.25,6.52
"ARG","2004",4.31,2.82,5.96,0.403,0.254,0.564,4.72,3.21,6.38
"ARG","2005",4.14,2.69,5.73,0.41,0.258,0.573,4.55,3.09,6.15
"ARG","2006",3.96,2.57,5.49,0.409,0.256,0.573,4.37,2.97,5.9
"ARG","2007",3.74,2.42,5.2,0.407,0.256,0.57,4.15,2.81,5.62
"ARG","2008",3.65,2.38,5.06,0.412,0.262,0.574,4.07,2.78,5.48
"ARG","2009",3.53,2.29,4.9,0.423,0.273,0.587,3.96,2.71,5.33
"ARG","2010",3.53,2.32,4.87,0.433,0.282,0.598,3.97,2.74,5.31
"ARG","2011",3.38,2.18,4.7,0.448,0.294,0.616,3.83,2.62,5.16
"ARG","2012",3.43,2.23,4.75,0.467,0.311,0.638,3.89,2.68,5.22
"ARG","2013",3.46,2.25,4.79,0.49,0.329,0.667,3.95,2.73,5.29
"ARG","2014",3.53,2.3,4.89,0.519,0.35,0.704,4.05,2.81,5.43
"ARG","Cumulative",59.1,53.4,64.7,6.27,5.66,6.88,65.3,59.6,71
"ARM","2000",0.613,0.385,0.852,0.000775,0,0.00219,0.614,0.386,0.853
"ARM","2001",0.676,0.433,0.93,0.00174,0,0.00396,0.678,0.434,0.931
"ARM","2002",0.648,0.382,0.925,0.0024,0,0.00573,0.65,0.384,0.927
"ARM","2003",0.709,0.434,0.996,0.00392,0,0.00814,0.713,0.438,1
"ARM","2004",0.731,0.447,1.03,0.00363,0,0.00875,0.735,0.451,1.03
"ARM","2005",0.734,0.449,1.03,0.00354,0,0.00918,0.738,0.452,1.03
"ARM","2006",0.715,0.434,1.01,0.00365,0,0.00945,0.719,0.438,1.01
"ARM","2007",0.688,0.414,0.97,0.00243,0,0.00795,0.69,0.417,0.973
"ARM","2008",0.645,0.384,0.917,0.00241,0,0.00841,0.648,0.386,0.92
"ARM","2009",0.63,0.384,0.889,0.00185,0,0.00731,0.632,0.386,0.891
"ARM","2010",0.579,0.349,0.823,0.00121,0,0.00596,0.58,0.35,0.824
"ARM","2011",0.56,0.35,0.785,0.0249,0.0143,0.0349,0.584,0.375,0.81
"ARM","2012",0.48,0.287,0.688,0.0487,0.0336,0.063,0.528,0.335,0.737
"ARM","2013",0.451,0.27,0.646,0.0404,0.0278,0.0525,0.491,0.31,0.687
"ARM","2014",0.408,0.245,0.585,0.0506,0.036,0.0644,0.459,0.295,0.636
"ARM","Cumulative",9.27,8.3,10.2,0.192,0.163,0.222,9.46,8.49,10.4
"ASM","2000",0.0013,0.000727,0.00196,22.4,17.9,26,22.4,17.9,26
"ASM","2001",0.00139,0.000823,0.00204,22.7,18.1,26.3,22.7,18.1,26.3
"ASM","2002",0.00146,0.000901,0.00206,22.9,18.3,26.5,22.9,18.3,26.5
"ASM","2003",0.0015,0.00095,0.00214,23.1,18.4,26.7,23.1,18.4,26.7
"ASM","2004",0.00155,0.000571,0.00263,23.1,18.5,26.8,23.1,18.5,26.8
"ASM","2005",0.00157,0.000385,0.00288,23.1,18.4,26.7,23.1,18.4,26.7
"ASM","2006",0.00158,0.000877,0.00238,3.81e-06,2.64e-06,5.16e-06,0.00158,0.000881,0.00238
"ASM","2007",0.00142,0.000913,0.002,2.77e-06,1.92e-06,3.76e-06,0.00142,0.000916,0.002
"ASM","2008",0.00138,0.000831,0.00204,2.68e-06,1.95999999999986e-311,9.82e-113,0.00138,0.000831,0.00204
"ASM","2009",0.00152,0.000888,0.00225,3.48e-06,2.4e-06,4.72e-06,0.00153,0.000891,0.00225
"ASM","2010",0.00149,0.000869,0.0022,3.38e-06,2.34e-06,4.59e-06,0.00149,0.000873,0.0022
"ASM","2011",0.00146,0.000844,0.00216,3.36e-06,2.33e-06,4.55e-06,0.00146,0.000847,0.00216
"ASM","2012",0.00143,0.000847,0.00211,3.16e-06,2.17e-06,4.31e-06,0.00144,0.000851,0.00211
"ASM","2013",0.00141,0.000834,0.00207,3.09e-06,2.12e-06,4.23e-06,0.00141,0.000838,0.00207
"ASM","2014",0.00138,0.000816,0.00203,3.03e-06,2.08e-06,4.14e-06,0.00138,0.000819,0.00203
"ASM","Cumulative",0.0218,0.0191,0.0246,137,127,147,137,127,147
"ATG","2000",0.000154,0,0.000632,30.3,24.2,35.1,30.3,24.2,35.1
"ATG","2001",0.00036,0,0.000875,30.8,24.6,35.7,30.8,24.6,35.7
"ATG","2002",0.000344,0,0.000879,31.2,24.9,36.2,31.2,24.9,36.2
"ATG","2003",0.00034,0,0.000856,31.5,25.2,36.6,31.5,25.2,36.6
"ATG","2004",0.000368,0,0.000853,31.9,25.4,36.9,31.9,25.4,36.9
"ATG","2005",0,0,0,0.00197,0.00147,0.0025,0.00197,0.00147,0.0025
"ATG","2006",0.000209,0,0.000711,0.000379,7.8e-05,0.000918,0.000588,0.000127,0.00129
"ATG","2007",0.000511,0,0.00108,2.17e-05,1.56e-05,2.85e-05,0.000533,2.5e-05,0.0011
"ATG","2008",0.000587,0,0.00122,9.56e-07,6.86e-07,1.25e-06,0.000588,1.24e-06,0.00122
"ATG","2009",0.000733,0.000109,0.00141,2.32e-05,1.67e-05,3.05e-05,0.000756,0.000132,0.00143
"ATG","2010",0.000227,0,0.000834,0.00133,0.000718,0.00214,0.00156,0.000813,0.00253
"ATG","2011",0,0,0,0.00347,0.00267,0.00424,0.00347,0.00267,0.00424
"ATG","2012",3.35e-08,0,0,0.00331,0.00253,0.00408,0.00331,0.00253,0.00408
"ATG","2013",3.67e-08,0,0,0.00165,0.00113,0.00227,0.00165,0.00113,0.00227
"ATG","2014",4.51e-08,0,0,0.00178,0.00122,0.00245,0.00178,0.00122,0.00245
"ATG","Cumulative",0.00383,0.00225,0.00541,156,143,168,156,143,168
"AUS","2000",0.455,0.309,0.616,0.0225,0.0161,0.029,0.478,0.332,0.638
"AUS","2001",0.439,0.296,0.597,0.0221,0.0155,0.0288,0.461,0.318,0.619
"AUS","2002",0.446,0.303,0.604,0.0239,0.0171,0.0309,0.47,0.327,0.628
"AUS","2003",0.444,0.299,0.604,0.0253,0.0181,0.0326,0.47,0.324,0.63
"AUS","2004",0.467,0.318,0.631,0.027,0.0195,0.0347,0.494,0.345,0.658
"AUS","2005",0.472,0.319,0.64,0.0288,0.0208,0.037,0.5,0.347,0.668
"AUS","2006",0.478,0.32,0.651,0.0307,0.0222,0.0395,0.509,0.351,0.682
"AUS","2007",0.511,0.348,0.691,0.0319,0.0228,0.0412,0.543,0.38,0.723
"AUS","2008",0.512,0.344,0.696,0.0382,0.0274,0.0496,0.55,0.382,0.734
"AUS","2009",0.534,0.362,0.723,0.0381,0.0277,0.0486,0.572,0.4,0.761
"AUS","2010",0.542,0.366,0.737,0.035,0.0253,0.0449,0.577,0.401,0.772
"AUS","2011",0.571,0.389,0.77,0.0248,0.0175,0.0321,0.595,0.414,0.795
"AUS","2012",0.587,0.401,0.793,0.0095,0.00568,0.0131,0.597,0.41,0.802
"AUS","2013",0.585,0.4,0.79,0.0261,0.0188,0.0333,0.611,0.426,0.816
"AUS","2014",0.595,0.405,0.803,0.0155,0.0103,0.0205,0.61,0.421,0.819
"AUS","Cumulative",7.64,6.97,8.31,0.399,0.369,0.43,8.04,7.36,8.71
"AUT","2000",0.48,0.316,0.661,0.0213,0.0146,0.0287,0.501,0.337,0.682
"AUT","2001",0.464,0.309,0.634,0.0209,0.0144,0.0282,0.485,0.33,0.655
"AUT","2002",0.424,0.278,0.585,0.0205,0.0141,0.0277,0.445,0.299,0.605
"AUT","2003",0.422,0.283,0.575,0.0203,0.0139,0.0273,0.442,0.303,0.595
"AUT","2004",0.404,0.271,0.549,0.0199,0.0137,0.0269,0.423,0.291,0.569
"AUT","2005",0.37,0.245,0.509,0.0205,0.0143,0.0273,0.391,0.265,0.53
"AUT","2006",0.354,0.235,0.485,0.02,0.014,0.0267,0.374,0.254,0.505
"AUT","2007",0.337,0.224,0.461,0.0195,0.0136,0.026,0.356,0.243,0.481
"AUT","2008",0.317,0.209,0.435,0.019,0.0132,0.0253,0.336,0.228,0.454
"AUT","2009",0.301,0.199,0.413,0.0185,0.0129,0.0246,0.32,0.217,0.432
"AUT","2010",0.293,0.196,0.4,0.018,0.0125,0.024,0.311,0.213,0.418
"AUT","2011",0.269,0.177,0.371,0.0175,0.0122,0.0234,0.287,0.194,0.389
"AUT","2012",0.272,0.184,0.37,0.0171,0.0119,0.0229,0.289,0.201,0.387
"AUT","2013",0.231,0.145,0.324,0.0168,0.0116,0.0224,0.247,0.162,0.341
"AUT","2014",0.22,0.138,0.31,0.0164,0.0114,0.022,0.237,0.155,0.327
"AUT","Cumulative",5.16,4.67,5.64,0.286,0.262,0.31,5.44,4.96,5.93
"AZE","2000",22,15.2,29.2,1.34e-05,0,0,22,15.2,29.2
"AZE","2001",20.5,14.2,27.2,1.83e-05,0,0,20.5,14.2,27.2
"AZE","2002",18.5,12.8,24.5,1.72e-05,0,0,18.5,12.8,24.5
"AZE","2003",16.1,11.1,21.3,1.72e-05,0,0,16.1,11.1,21.3
"AZE","2004",13.7,9.46,18.2,2.29e-05,0,0,13.7,9.46,18.2
"AZE","2005",11.5,7.99,15.3,3.53e-05,0,0,11.5,7.99,15.3
"AZE","2006",9.71,6.76,12.8,0.000161,0,0.000707,9.71,6.76,12.8
"AZE","2007",8.22,5.79,10.8,0.00106,0,0.0127,8.22,5.8,10.8
"AZE","2008",6.84,4.83,8.96,0.00502,0,0.0243,6.85,4.84,8.96
"AZE","2009",5.73,4.03,7.53,0.0134,0,0.0346,5.74,4.05,7.54
"AZE","2010",4.86,3.4,6.45,0.0225,0.00192,0.0424,4.88,3.42,6.47
"AZE","2011",4.22,2.93,5.63,0.00432,0,0.0154,4.22,2.94,5.64
"AZE","2012",3.69,2.58,4.92,0.0857,0.0581,0.113,3.78,2.67,5
"AZE","2013",3.36,2.36,4.45,0.0727,0.0491,0.0956,3.43,2.43,4.53
"AZE","2014",3.08,2.16,4.08,0.0743,0.0493,0.0988,3.15,2.23,4.15
"AZE","Cumulative",152,137,167,0.279,0.224,0.334,152,138,167
"BDI","2000",1.65,0,3.63,3.13,1.87,4.35,4.78,2.63,7.11
"BDI","2001",1.72,0,3.6,2.88,1.68,4.04,4.6,2.5,6.81
"BDI","2002",1.78,0.00837,3.58,2.61,1.49,3.7,4.4,2.39,6.49
"BDI","2003",1.82,0.13,3.52,2.33,1.29,3.33,4.15,2.23,6.13
"BDI","2004",1.82,0.202,3.46,2.11,1.15,3.03,3.93,2.09,5.81
"BDI","2005",1.84,0.285,3.43,1.94,1.07,2.78,3.79,2.02,5.58
"BDI","2006",1.9,0.383,3.43,1.77,0.965,2.55,3.67,1.97,5.39
"BDI","2007",1.95,0.474,3.46,1.63,0.888,2.33,3.58,1.94,5.25
"BDI","2008",2.02,0.549,3.52,1.53,0.855,2.19,3.55,1.94,5.19
"BDI","2009",2.08,0.608,3.59,1.46,0.829,2.07,3.54,1.94,5.17
"BDI","2010",2.15,0.669,3.67,1.38,0.79,1.95,3.53,1.94,5.15
"BDI","2011",2.22,0.727,3.75,1.34,0.784,1.89,3.56,1.97,5.19
"BDI","2012",2.32,0.8,3.91,1.14,0.658,1.6,3.46,1.86,5.11
"BDI","2013",2.47,0.885,4.12,0.789,0.412,1.15,3.26,1.63,4.95
"BDI","2014",2.54,0.913,4.23,0.762,0.404,1.11,3.31,1.64,5.03
"BDI","Cumulative",30.3,24,36.5,26.8,23.7,30,57.1,50.1,64.1
"BEL","2000",0.504,0.334,0.692,0.0462,0.0338,0.0587,0.55,0.38,0.738
"BEL","2001",0.496,0.329,0.679,0.051,0.0374,0.0647,0.547,0.379,0.731
"BEL","2002",0.488,0.326,0.668,0.0544,0.0398,0.0692,0.543,0.38,0.723
"BEL","2003",0.475,0.318,0.648,0.0583,0.0427,0.074,0.533,0.375,0.707
"BEL","2004",0.465,0.314,0.631,0.0616,0.0453,0.078,0.527,0.375,0.694
"BEL","2005",0.43,0.283,0.592,0.0501,0.0367,0.0632,0.48,0.332,0.643
"BEL","2006",0.442,0.299,0.6,0.0464,0.0338,0.0587,0.488,0.345,0.647
"BEL","2007",0.414,0.275,0.567,0.0487,0.0355,0.0616,0.463,0.323,0.616
