"iso3","vr.points","source.mort"
"ABW",0,"indirect"
"AFG",0,"indirect"
"AGO",0,"indirect"
"AIA",6,"imputed"
"ALB",13,"imputed"
"AND",0,"indirect"
"ANT",5,NA
"ARE",6,"imputed"
"ARG",23,"imputed"
"ARM",20,"imputed"
"ASM",0,"indirect"
"ATG",10,"imputed"
"AUS",21,"imputed"
"AUT",24,"imputed"
"AZE",16,"imputed"
"BDI",0,"indirect"
"BEL",23,"imputed"
"BEN",0,"indirect"
"BES",0,"indirect"
"BFA",0,"indirect"
"BGD",0,"indirect"
"BGR",23,"imputed"
"BHR",17,"imputed"
"BHS",18,"imputed"
"BIH",3,"imputed"
"BLR",18,"imputed"
"BLZ",22,"imputed"
"BMU",6,"imputed"
"BOL",2,"imputed"
"BRA",23,"imputed"
"BRB",12,"imputed"
"BRN",17,"imputed"
"BTN",0,"indirect"
"BWA",0,"indirect"
"CAF",0,"indirect"
"CAN",22,"imputed"
"CHE",23,"imputed"
"CHL",23,"imputed"
"CHN",0,"imputed"
"CIV",0,"indirect"
"CMR",0,"indirect"
"COD",0,"indirect"
"COG",0,"indirect"
"COK",0,"indirect"
"COL",22,"imputed"
"COM",0,"indirect"
"CPV",0,"indirect"
"CRI",23,"imputed"
"CUB",23,"imputed"
"CUW",0,"indirect"
"CYM",8,"imputed"
"CYP",9,"imputed"
"CZE",24,"imputed"
"DEU",24,"imputed"
"DJI",0,"indirect"
"DMA",17,"imputed"
"DNK",23,"imputed"
"DOM",19,"imputed"
"DZA",0,"indirect"
"ECU",23,"imputed"
"EGY",16,"imputed"
"ERI",0,"indirect"
"ESP",24,"imputed"
"EST",23,"imputed"
"ETH",0,"indirect"
"FIN",24,"imputed"
"FJI",12,"imputed"
"FRA",22,"imputed"
"FSM",0,"indirect"
"GAB",0,"indirect"
"GBR",23,"imputed"
"GEO",18,"imputed"
"GHA",0,"indirect"
"GIN",0,"indirect"
"GMB",0,"indirect"
"GNB",0,"indirect"
"GNQ",0,"indirect"
"GRC",23,"imputed"
"GRD",13,"imputed"
"GRL",0,"indirect"
"GTM",23,"imputed"
"GUM",0,"indirect"
"GUY",21,"imputed"
"HKG",24,"imputed"
"HND",4,"imputed"
"HRV",24,"imputed"
"HTI",0,"indirect"
"HUN",24,"imputed"
"IDN",0,"imputed"
"IND",0,"imputed"
"IRL",21,"imputed"
"IRN",0,"indirect"
"IRQ",1,"imputed"
"ISL",10,"imputed"
"ISR",23,"imputed"
"ITA",21,"imputed"
"JAM",9,"imputed"
"JOR",4,"imputed"
"JPN",24,"imputed"
"KAZ",22,"imputed"
"KEN",0,"indirect"
"KGZ",24,"imputed"
"KHM",0,"indirect"
"KIR",11,"imputed"
"KNA",16,"imputed"
"KOR",23,"imputed"
"KWT",21,"imputed"
"LAO",0,"indirect"
"LBN",0,"indirect"
"LBR",0,"indirect"
"LBY",0,"indirect"
"LCA",19,"imputed"
"LKA",12,"imputed"
"LSO",0,"indirect"
"LTU",23,"imputed"
"LUX",18,"imputed"
"LVA",23,"imputed"
"MAC",1,"imputed"
"MAR",5,"imputed"
"MCO",0,"indirect"
"MDA",24,"imputed"
"MDG",0,"indirect"
"MDV",9,"imputed"
"MEX",23,"imputed"
"MHL",0,"indirect"
"MKD",20,"imputed"
"MLI",0,"indirect"
"MLT",18,"imputed"
"MMR",0,"indirect"
"MNE",5,"imputed"
"MNG",1,"imputed"
"MNP",0,"indirect"
"MOZ",0,"indirect"
"MRT",0,"indirect"
"MSR",9,"imputed"
"MUS",24,"imputed"
"MWI",0,"indirect"
"MYS",10,"imputed"
"NAM",0,"indirect"
"NCL",0,"indirect"
"NER",0,"indirect"
"NGA",0,"indirect"
"NIC",22,"imputed"
"NIU",0,"indirect"
"NLD",24,"imputed"
"NOR",24,"imputed"
"NPL",0,"indirect"
"NRU",0,"indirect"
"NZL",22,"imputed"
"OMN",2,"imputed"
"PAK",0,"indirect"
"PAN",17,"imputed"
"PER",22,"imputed"
"PHL",13,"imputed"
"PLW",0,"indirect"
"PNG",0,"indirect"
"POL",22,"imputed"
"PRI",20,"imputed"
"PRK",0,"indirect"
"PRT",21,"imputed"
"PRY",21,"imputed"
"PSE",1,"imputed"
"PYF",0,"indirect"
"QAT",9,"imputed"
"ROU",23,"imputed"
"RUS",24,"imputed"
"RWA",0,"indirect"
"SAU",2,"imputed"
"SCG",6,NA
"SDN",0,"indirect"
"SEN",0,"indirect"
"SGP",24,"imputed"
"SLB",0,"indirect"
"SLE",0,"indirect"
"SLV",22,"imputed"
"SMR",8,"imputed"
"SOM",0,"indirect"
"SRB",9,"imputed"
"SSD",0,"indirect"
"STP",0,"indirect"
"SUR",21,"imputed"
"SVK",19,"imputed"
"SVN",21,"imputed"
"SWE",24,"imputed"
"SWZ",0,"indirect"
"SXM",0,"indirect"
"SYC",12,"imputed"
"SYR",1,"imputed"
"TCA",7,"imputed"
"TCD",0,"indirect"
"TGO",0,"indirect"
"THA",15,"imputed"
"TJK",16,"imputed"
"TKL",0,"indirect"
"TKM",9,"imputed"
"TLS",0,"indirect"
"TON",0,"indirect"
"TTO",19,"imputed"
"TUN",2,"imputed"
"TUR",24,"imputed"
"TUV",0,"indirect"
"TZA",0,"indirect"
"UGA",0,"indirect"
"UKR",23,"imputed"
"URY",19,"imputed"
"USA",21,"imputed"
"UZB",16,"imputed"
"VCT",19,"imputed"
"VEN",18,"imputed"
"VGB",6,"imputed"
"VIR",5,"imputed"
"VNM",0,"imputed"
"VUT",0,"indirect"
"WLF",0,"indirect"
"WSM",0,"indirect"
"YEM",0,"indirect"
"ZAF",24,"imputed"
"ZMB",0,"indirect"
"ZWE",0,"indirect"
