"rowname","mort.nh.num","mort.nh.bounds","mort.h.num","mort.h.bounds","prev.num","prev.bounds","inc.num","inc.bounds","inc.h.num","inc.h.bounds"
"Afghanistan",13768.8499186827,"(9930-18200)",87,"(72-103)",107629.717724518,"(56100-176000)",59695.5876620705,"(52300-67600)",322.842924394961,"(252-403)"
"Bangladesh",81480.8292228617,"(58800-108000)",179,"(144-218)",643418.178038178,"(335000-1050000)",361511.523205833,"(317000-409000)",571.568415254578,"(446-713)"
"Brazil",5291.84234440649,"(4940-5660)",2609,"(1920-3400)",106642.708599606,"(50400-184000)",90207.3170731707,"(79000-102000)",15694.4871467843,"(13400-18200)"
"China",38185.3068313307,"(36800-39600)",700,"(404-1080)",1222058.62902788,"(1060000-1390000)",928631.921240817,"(814000-1050000)",13431.98291678,"(10500-16800)"
"Democratic Republic of the Congo",51559.2236506949,"(37100-68400)",6283,"(4650-8160)",398073.801070711,"(210000-646000)",243273.289413478,"(213000-275000)",33886.7114992081,"(26400-42300)"
"Ethiopia",31579.5622380404,"(22700-41900)",5305,"(4300-6410)",193689.891360738,"(156000-235000)",200551.957388386,"(176000-227000)",18625.3210351483,"(15500-22000)"
"Indonesia",103756.264240233,"(66300-150000)",21586,"(15000-29300)",1646147.15636029,"(1300000-2030000)",1014943.1390216,"(889000-1150000)",63143.7889871933,"(49200-78800)"
"India",222103.469897767,"(155000-346000)",31284,"(25400-37800)",2522640.78343596,"(1700000-3500000)",2164794.21778686,"(1890000-2460000)",107693.211301081,"(91200-126000)"
"Kenya",9350.99548408871,"(6560-12600)",8086,"(5980-10500)",119048.93435456,"(63700-191000)",110474.229488815,"(96800-125000)",39759.9937980836,"(34500-45400)"
"Cambodia",8920.54444216814,"(6260-12000)",817,"(621-1040)",102419.390413298,"(86500-120000)",59749.4399716316,"(52400-67600)",1798.36445646045,"(1550-2070)"
"Myanmar",28154.0015345256,"(20100-37500)",4125,"(3170-5200)",243992.929125275,"(188000-307000)",197105.752384104,"(173000-223000)",19197.1754292043,"(15000-23900)"
"Mozambique",18150.42,"(12600-25100)",36518,"(30700-42800)",150654.948997683,"(82300-239000)",149936.080983217,"(131000-170000)",84742.6984394111,"(70400-1e+05)"
"Nigeria",171575.704433546,"(122000-229000)",78198,"(66600-90700)",585182.811030663,"(449000-739000)",570939.65507899,"(5e+05-646000)",104466.777863222,"(83400-128000)"
"Pakistan",48429.2910396331,"(11100-113000)",1232,"(861-1670)",630947.944754709,"(527000-744000)",499774.72056307,"(438000-566000)",6352.88574487885,"(4950-7930)"
"Philippines",10161.6749304717,"(9080-11300)",80,"(54-111)",413757.157311853,"(364000-467000)",285290.009037554,"(250000-323000)",2545.89698822577,"(1980-3180)"
"Russian Federation",15908.1414575886,"(15400-16500)",1052,"(815-1320)",156143.302066146,"(70500-275000)",120745.116083239,"(106000-137000)",5500.86191437242,"(4410-6710)"
"Thailand",7448.89253286696,"(3800-12300)",4485,"(3510-5580)",159985.490104381,"(109000-221000)",115719.141639729,"(101000-131000)",15022.8475982735,"(12600-17600)"
"United Republic of Tanzania",6711.41581761207,"(4690-9090)",6709,"(5150-8470)",88070.293729994,"(47000-142000)",82611.0382364087,"(72400-93500)",30312.9345298282,"(26100-34900)"
"Uganda",4526.52733168753,"(3180-6110)",6446,"(4990-8090)",60009.5298376644,"(32700-95400)",60981.7699223939,"(53400-69000)",27563.7953311417,"(23700-31700)"
"Viet Nam",16652.1177987184,"(11400-22900)",1863,"(1450-2330)",182739.683236499,"(76300-335000)",129714.326843482,"(114000-147000)",7042.38261157413,"(6000-8170)"
"South Africa",23984.2120449074,"(22300-25700)",72327,"(57300-89100)",375079.567849213,"(211000-586000)",449893.996653987,"(394000-509000)",274601.177785477,"(235000-317000)"
"Zimbabwe",2329.41627170331,"(1610-3180)",5230,"(3880-6770)",63612.3074405084,"(36400-98200)",42428.4189239547,"(37200-48000)",25396.4768600008,"(21600-29400)"
"High-burden countries",920028.703463535,"(788000-1060000)",295201,"(272000-319000)",10171945.1558703,"(9070000-11300000)",7938972.6486028,"(7580000-8310000)",897674.183575997,"(843000-954000)"
"AMR",17043.648206889,"(16100-18000)",6127,"(5360-6950)",352166.952830421,"(275000-439000)",277744.281596799,"(263000-293000)",35854.3339537831,"(33200-38600)"
"EMR",87792.8575380126,"(43200-148000)",3205.14416996673,"(2770-3680)",1024595.96248011,"(890000-1170000)",741443.986976258,"(678000-808000)",12304.278754853,"(10700-14000)"
"AFR",424163.570004585,"(359000-494000)",286497,"(265000-309000)",2900155.75992113,"(2540000-3280000)",2616010.17356881,"(2500000-2730000)",836750.790946306,"(785000-890000)"
"EUR",33490.5017398525,"(32700-34200)",3249,"(2810-3720)",434271.883858645,"(327000-556000)",335014.534713699,"(317000-354000)",19738.1256438399,"(18100-21500)"
"WPR",87732.9238895211,"(80900-94800)",4942,"(4290-5640)",2135643.69205325,"(1920000-2370000)",1562359.54534776,"(1440000-1690000)",31437.5967434112,"(28000-35100)"
"SEA",455238.654987928,"(354000-569000)",62078,"(52900-72000)",5446357.13976482,"(4450000-6550000)",4029672.55183369,"(3720000-4350000)",207660.825516771,"(185000-232000)"
"Global",1105462.15636679,"(972000-1250000)",366098.144169967,"(343000-390000)",12293191.3909084,"(11200000-13500000)",9562245.07403701,"(9200000-9930000)",1143745.95155896,"(1090000-1200000)"
