"rowname","mort.nh","mort.nh.bounds","prev","prev.bounds","inc","inc.bounds","tbhiv","tbhiv.bounds"
"Afghanistan",43.5344156402427,"(31.5-57.5)",340.222227408767,"(178-555)",188.745795074928,"(167-212)",0.00540815388605496,"(0.0044-0.00652)"
"Bangladesh",51.2208342249239,"(37-67.7)",404.064140028641,"(211-659)",227.254950362364,"(200-256)",0.00158105171914298,"(0.00129-0.00191)"
"Brazil",2.567884472699,"(2.4-2.75)",51.7621068552398,"(24.5-89)",43.7734070216354,"(41.5-46.1)",0.173982418012209,"(0.159-0.189)"
"China",2.78839726960892,"(2.69-2.89)",89.2381187228664,"(77.6-102)",67.811284719991,"(62.8-73)",0.0144642700832774,"(0.0118-0.0174)"
"Democratic Republic of the Congo",68.8585319832996,"(50.2-90.4)",531.747148572651,"(282-859)",324.897087148727,"(295-356)",0.139294830028021,"(0.113-0.168)"
"Ethiopia",32.5701064634802,"(22.6-44.3)",199.765289175541,"(161-243)",206.842595041761,"(168-250)",0.0928703029264322,"(0.0823-0.104)"
"Indonesia",40.7759150980585,"(26-58.8)",646.931124382459,"(513-797)",398.869750844923,"(274-546)",0.0622141148203272,"(0.0506-0.0749)"
"India",17.1469867998487,"(11.9-26.7)",194.754671028988,"(131-271)",167.127951192596,"(156-179)",0.0497475512527832,"(0.0454-0.0543)"
"Kenya",20.8431758205507,"(14.9-27.7)",265.894584480636,"(142-427)",246.244776055481,"(240-252)",0.359902883976295,"(0.342-0.378)"
"Cambodia",58.1971900703917,"(41.3-78)",668.179029813526,"(565-780)",389.802386745731,"(353-428)",0.0300984320073007,"(0.0281-0.0321)"
"Myanmar",52.6861870304998,"(38-69.7)",456.597868770073,"(352-575)",368.855223729435,"(334-406)",0.0973953078335042,"(0.0791-0.117)"
"Mozambique",66.6895794266637,"(44.1-95.7)",553.72368957989,"(295-892)",550.90593945776,"(435-680)",0.56519216644656,"(0.495-0.634)"
"Nigeria",96.6754479299224,"(51.3-156)",329.725065469231,"(253-417)",321.699666499664,"(189-488)",0.182973413974492,"(0.153-0.215)"
"Pakistan",26.1717300687864,"(5.99-60.9)",340.971320105885,"(285-402)",270.083843909166,"(201-350)",0.0127114987683278,"(0.0103-0.0153)"
"Philippines",10.2499588510517,"(9.1-11.5)",417.351850535702,"(367-471)",287.768588668616,"(254-324)",0.00892389115487967,"(0.00726-0.0108)"
"Russian Federation",11.0912669059796,"(10.7-11.5)",108.465506017007,"(48.8-191)",84.1843350238669,"(75.8-93)",0.0455576348991228,"(0.0383-0.0534)"
"Thailand",10.9985749085546,"(5.71-18)",236.224699098674,"(161-326)",170.863741430344,"(90.4-276)",0.129821630072615,"(0.117-0.144)"
"United Republic of Tanzania",12.9507456166913,"(9.22-17.3)",169.720849256228,"(90.7-273)",159.411154129793,"(153-166)",0.366935644157884,"(0.342-0.392)"
"Uganda",11.980337204524,"(8.41-16.2)",158.928383984431,"(86.6-253)",161.400144849366,"(141-183)",0.452000579291479,"(0.423-0.482)"
"Viet Nam",18.017221795991,"(12.3-24.8)",197.720280603259,"(82.5-362)",140.348022101822,"(116-167)",0.054291478689719,"(0.0497-0.0591)"
"South Africa",44.440675289412,"(41.3-47.7)",694.760407858942,"(389-1090)",833.614753843909,"(737-936)",0.610368619781055,"(0.563-0.656)"
"Zimbabwe",15.2790136840689,"(9.46-22.5)",417.243292950828,"(239-644)",278.294781919116,"(193-379)",0.598572313182807,"(0.547-0.649)"
"High-burden countries",20.2084013277002,"(16.9-23.8)",223.403528003247,"(199-249)",174.379282742627,"(164-186)",0.113187979057801,"(0.102-0.125)"
"AMR",1.73935462041839,"(1.64-1.84)",35.88127033051,"(28-44.7)",28.2946818524173,"(27.2-29.4)",0.129195144850593,"(0.121-0.138)"
"EMR",13.8094450282995,"(6.78-23.3)",161.149255750055,"(140-184)",116.626002010227,"(95.7-140)",0.0167497262162441,"(0.0125-0.0215)"
"AFR",44.0240358213479,"(34-55.3)",301.06250061169,"(264-340)",271.550381661105,"(243-302)",0.320872408182382,"(0.277-0.366)"
"EUR",3.69131062909222,"(3.61-3.77)",47.8001956419971,"(36-61.3)",36.9251772486138,"(35.1-38.8)",0.0593142407381725,"(0.0537-0.0651)"
"WPR",4.75469909246258,"(4.38-5.14)",115.743053347523,"(104-128)",84.6723120925472,"(80.3-89.2)",0.0201563765966931,"(0.0178-0.0227)"
"SEA",23.8834112603503,"(18.6-29.9)",285.707361271427,"(233-343)",211.410708966578,"(192-232)",0.0516607432804617,"(0.0432-0.0608)"
"Global",15.2700362079074,"(13.2-17.5)",169.799138960239,"(154-186)",132.088542926469,"(125-139)",0.119812573353229,"(0.11-0.13)"
