"rowname","c.newinc","new.labconf","new.clindx","ret.rel.labconf","ret.rel.clindx","c.ep","ret.nrel","new.pulm","new.prop.pulm"
"Afghanistan",31746,14737,8573,1209,NA,7227,966,24519,0.772349272349272
"Bangladesh",191166,106767,42832,2989,863,37715,5631,153451,0.80271073308015
"Brazil",73970,41120,17801,3602,1488,9959,7542,64011,0.865364336893335
"Cambodia",43059,12168,11286,445,709,18451,679,24608,0.571494925567245
"China",819283,235704,526106,25125,NA,32348,6872,786935,0.960516695696115
"Democratic Republic of the Congo",115795,75631,13494,4298,1892,20480,1099,95315,0.823135713977287
"Ethiopia",119592,40087,41575,NA,NA,37930,NA,81662,0.682838316944277
"India",1609547,754268,343032,124679,112066,275502,74368,1334045,0.828832584571932
"Indonesia",322806,193321,101991,6449,1391,19654,1733,303152,0.939115134167271
"Kenya",88025,34997,30872,3569,2947,15640,1269,72385,0.822323203635331
"Mozambique",57773,24430,23455,1542,2070,6276,497,51497,0.891367940041196
"Myanmar",138352,42608,70305,5276,3650,16513,3605,121839,0.880645021394703
"Nigeria",86464,49825,29460,2415,NA,4764,4890,81700,0.94490192450037
"Pakistan",308417,122537,120350,7420,426,57684,8160,250733,0.812967508276133
"Philippines",243379,92991,139950,6277,NA,4161,17702,239218,0.982903208575925
"Russian Federation",102340,37296,40894,7982,6753,9415,33828,92925,0.908002735978112
"South Africa",306166,155473,106482,7430,2693,34088,12027,272078,0.88866170639457
"Thailand",67722,34394,21115,1969,0,10244,3896,57478,0.848734532352854
"Uganda",44187,26079,11854,1499,468,4287,1984,39900,0.902980514631
"United Republic of Tanzania",61571,23583,23380,1008,NA,13600,1580,47971,0.779116791996232
"Viet Nam",100331,49929,25167,7113,NA,18122,1736,82209,0.819377859285764
"Zimbabwe",29653,11224,13151,1369,NA,3909,2363,25744,0.868175226789869
"High burden countries",4961344,2179169,1763125,223665,137416,657969,192427,4303375,0.867380895176791
"AFR",1300775,635563,399159,39739,11185,215129,43885,1085646,0.834614748899694
"AMR",215229,127845,40749,10193,2919,33523,13219,181706,0.844244966988649
"EMR",453393,183630,151696,12368,866,104833,12284,348560,0.768781167772771
"EUR",251545,105205,74550,23660,11445,36685,54530,214860,0.854161283269395
"SEA",2482074,1188654,632418,152498,117970,390534,98531,2091540,0.842658196330972
"WPR",1335656,449783,734121,44349,3036,104367,33388,1231289,0.921860868367304
"Global",6038672,2690680,2032693,282807,147421,885071,255837,5153601,0.853432840863024
