"rowname","cdr.1995","cdr.1995.bounds","cdr.2000","cdr.2000.bounds","cdr.2005","cdr.2005.bounds","cdr.2010","cdr.2010.bounds","cdr.2014","cdr.2014.bounds"
"Afghanistan",NA,"(NA-NA)",0.190118988966493,"(0.175-0.207)",0.473968780232415,"(0.443-0.508)",0.529396420394612,"(0.479-0.588)",0.531798098373874,"(0.473-0.602)"
"Bangladesh",0.211895650740144,"(0.197-0.229)",0.256100008254588,"(0.235-0.28)",0.383236222294904,"(0.358-0.411)",0.451596481640758,"(0.408-0.503)",0.528796422046985,"(0.47-0.6)"
"Brazil",0.788380354658932,"(0.73-0.854)",0.732059353149039,"(0.675-0.797)",0.839167526421293,"(0.788-0.896)",0.82,"(0.779-0.865)",0.82,"(0.779-0.865)"
"China",0.326029669260325,"(0.306-0.349)",0.328789239708228,"(0.306-0.354)",0.749633099190884,"(0.713-0.789)",0.872598750182427,"(0.813-0.939)",0.882247294391186,"(0.82-0.952)"
"Democratic Republic of the Congo",0.310975592560622,"(0.291-0.333)",0.388264276972183,"(0.36-0.419)",0.529704090374962,"(0.502-0.56)",0.529351832481496,"(0.49-0.573)",0.475987315661234,"(0.435-0.523)"
"Ethiopia",0.10871685145882,"(0.0929-0.129)",0.32539064101593,"(0.27-0.4)",0.476130608145032,"(0.407-0.565)",0.65896277097407,"(0.553-0.798)",0.596314299582726,"(0.494-0.734)"
"Indonesia",0.04016218477662,"(0.0293-0.0584)",0.0891023907702284,"(0.0651-0.13)",0.257381016113369,"(0.188-0.374)",0.300113509075893,"(0.219-0.436)",0.318053285537929,"(0.232-0.462)"
"India",0.58585111849805,"(0.56-0.613)",0.489633172098147,"(0.467-0.513)",0.483689968960733,"(0.466-0.502)",0.58685583272471,"(0.555-0.622)",0.74351039317053,"(0.696-0.797)"
"Kenya",0.61541147765834,"(0.596-0.635)",0.721846596232433,"(0.702-0.743)",0.805165209597292,"(0.79-0.821)",0.822714450294033,"(0.804-0.842)",0.796792160554622,"(0.778-0.816)"
"Cambodia",0.236975716264988,"(0.219-0.258)",0.269162567656397,"(0.245-0.297)",0.521767385603643,"(0.489-0.558)",0.645365773887226,"(0.594-0.704)",0.720659474305432,"(0.656-0.796)"
"Myanmar",0.100829508280351,"(0.093-0.11)",0.157314765730844,"(0.144-0.172)",0.530879369784609,"(0.5-0.565)",0.661688479882592,"(0.61-0.721)",0.701917616947022,"(0.638-0.776)"
"Mozambique",0.234812657466823,"(0.178-0.324)",0.225660995428745,"(0.171-0.312)",0.30095954833921,"(0.253-0.364)",0.328796054435312,"(0.273-0.404)",0.385317527450026,"(0.312-0.487)"
"Nigeria",0.0434682662532394,"(0.0341-0.0574)",0.0647280770102647,"(0.0486-0.0906)",0.133737928289769,"(0.105-0.175)",0.155590576996095,"(0.109-0.241)",0.15144157395765,"(0.0998-0.257)"
"Pakistan",0.0388701279715936,"(0.033-0.0464)",0.0290244414351965,"(0.0238-0.0362)",0.335953129298111,"(0.285-0.401)",0.563740827659821,"(0.447-0.733)",0.617112045308179,"(0.477-0.831)"
"Philippines",0.423366253630619,"(0.393-0.457)",0.417613458248108,"(0.383-0.457)",0.472562619388815,"(0.441-0.507)",0.580262668541971,"(0.524-0.647)",0.853093316590566,"(0.758-0.967)"
"Russian Federation",0.598340424981584,"(0.564-0.636)",0.75071880323118,"(0.702-0.805)",0.652928787041738,"(0.618-0.691)",0.836176764507334,"(0.765-0.918)",0.847570513158054,"(0.767-0.941)"
"Thailand",0.414923002158338,"(0.257-0.784)",0.225824357601317,"(0.14-0.427)",0.392550311189048,"(0.243-0.742)",0.555197325411946,"(0.343-1.05)",0.585227292912699,"(0.362-1.11)"
"United Republic of Tanzania",0.283991627425448,"(0.162-0.623)",0.318511777777148,"(0.196-0.606)",0.306366683363042,"(0.198-0.538)",0.314284417017955,"(0.196-0.583)",0.363676768274556,"(0.212-0.765)"
"Uganda",0.22828716067224,"(0.193-0.275)",0.299705673490687,"(0.248-0.37)",0.481775569205674,"(0.429-0.545)",0.618948260879193,"(0.551-0.7)",0.724593596680334,"(0.64-0.828)"
